City,Sales Q3 2018,Sales Q4 2018,Sales Q1 2019,Sales Q2 2019,Average Median Q3 2018,Average Median Q4 2018,Average Median Q1 2019,Average Median Q2 2019
ADELAIDE,10.0,13.0,14.0,10.0,1240000.0,1527875.0,987250.0,1155875.0
ADELAIDE HILLS,91.0,104.0,107.0,135.0,716458.3333333334,806979.1666666666,721004.8333333334,724770.8333333334
BURNSIDE,139.0,156.0,123.0,160.0,1133738.0952380951,1090988.0952380951,1141397.3333333333,1035166.6666666666
CAMPBELLTOWN,155.0,171.0,167.0,174.0,611718.75,584737.5,594593.75,582375.0
CHARLES STURT,348.0,362.0,328.0,338.0,574027.6470588235,587624.3529411765,586136.7352941176,574709.1911764706
GAWLER,100.0,83.0,78.0,71.0,324500.0,327562.5,335156.25,321897.5625
HOLDFAST BAY,85.0,96.0,108.0,107.0,849418.1818181818,793372.7272727273,780909.0909090909,741227.2727272727
MARION,330.0,331.0,322.0,339.0,529552.5961538461,521706.6346153846,529657.1153846154,512009.6153846154
MITCHAM,223.0,254.0,211.0,232.0,724402.7777777778,722750.0,742232.4074074074,724737.6481481482
NORWOOD PAYNEHAM & ST PETERS,50.0,73.0,62.0,60.0,820173.0769230769,868346.1538461539,906192.2307692308,789115.3846153846
ONKAPARINGA,686.0,748.0,637.0,666.0,424627.63157894736,422752.9342105263,429133.0394736842,425665.7894736842
PLAYFORD,341.0,351.0,282.0,319.0,295547.61904761905,316607.14285714284,311261.90476190473,293857.14285714284
PORT ADELAIDE ENFIELD,482.0,511.0,434.0,529.0,493168.6666666667,492841.1111111111,500275.7888888889,482870.4
PROSPECT,60.0,74.0,67.0,70.0,820571.4285714285,797357.1428571428,707985.7142857143,715750.0
SALISBURY,513.0,505.0,407.0,465.0,350799.95652173914,355572.82608695654,356549.4347826087,367467.39130434784
TEA TREE GULLY,411.0,428.0,380.0,471.0,425408.652173913,426530.4347826087,422746.1304347826,423555.1304347826
UNLEY,74.0,102.0,74.0,99.0,1014571.4285714285,1101209.5,1047053.5714285715,1035678.5714285715
WALKERVILLE,19.0,20.0,18.0,23.0,1293125.0,1185000.0,1032500.0,1129250.0
WEST TORRENS,172.0,189.0,179.0,182.0,625309.5238095238,596809.5238095238,607142.8571428572,608769.0476190476
