City,Sales Q3 2015,Sales Q4 2015,Sales Q1 2016,Sales Q2 2016,Average Median Q3 2015,Average Median Q4 2015,Average Median Q1 2016,Average Median Q2 2016
ADELAIDE,6.0,4.0,10.0,14.0,1370000.0,1300000.0,900500.0,892500.0
ADELAIDE HILLS,106.0,88.0,97.0,115.0,626970.8333333334,666666.6666666666,627512.5,596166.6666666666
BURNSIDE,133.0,111.0,103.0,167.0,933642.8571428572,903104.1904761905,972928.619047619,965391.4285714285
CAMPBELLTOWN,162.0,143.0,114.0,187.0,524125.0,550625.0,576375.0,556062.5
CHARLES STURT,265.0,220.0,268.0,336.0,516098.48484848486,531053.0303030303,584128.7878787878,540804.5454545454
GAWLER,83.0,62.0,78.0,87.0,312921.4285714286,296996.4285714286,316835.71428571426,310107.14285714284
HOLDFAST BAY,84.0,80.0,68.0,81.0,623616.6666666666,648916.6666666666,662777.7777777778,682555.5555555555
MARION,263.0,251.0,205.0,318.0,472532.60869565216,474845.39130434784,487620.17391304346,480465.45652173914
MITCHAM,203.0,174.0,160.0,220.0,620909.6153846154,616488.4615384615,636375.0,672010.5576923077
NORWOOD PAYNEHAM & ST PETERS,61.0,50.0,32.0,74.0,834863.6363636364,831659.0909090909,994250.0,838559.0909090909
ONKAPARINGA,603.0,538.0,469.0,669.0,389419.69696969696,384451.7121212121,383992.42424242425,391366.6666666667
PLAYFORD,294.0,229.0,205.0,291.0,260660.0,286365.0,277438.225,276874.225
PORT ADELAIDE ENFIELD,396.0,350.0,331.0,472.0,430209.2105263158,453218.36842105264,451523.15789473685,445311.84210526315
PROSPECT,65.0,43.0,54.0,72.0,634800.0,614870.0,586576.0,608150.0
SALISBURY,437.0,379.0,346.0,468.0,332836.95652173914,324863.04347826086,352815.2173913043,332569.5652173913
TEA TREE GULLY,351.0,309.0,288.0,458.0,392419.0909090909,384784.0909090909,407345.45454545453,396931.8181818182
UNLEY,67.0,76.0,58.0,92.0,958984.6153846154,1005653.8461538461,756373.0769230769,903046.1538461539
WALKERVILLE,19.0,26.0,12.0,19.0,767833.3333333334,838666.6666666666,850333.3333333334,971666.6666666666
WEST TORRENS,177.0,127.0,129.0,150.0,540921.052631579,546718.4210526316,568423.6842105263,552632.8947368421
