City,Sales Q3 2016,Sales Q4 2016,Sales Q1 2017,Sales Q2 2017,Average Median Q3 2016,Average Median Q4 2016,Average Median Q1 2017,Average Median Q2 2017
ADELAIDE,12.0,12.0,12.0,12.0,839750.0,957000.0,810000.0,1175500.0
ADELAIDE HILLS,89.0,111.0,123.0,129.0,644818.1818181818,649659.0909090909,673202.2727272727,729090.9090909091
BURNSIDE,143.0,164.0,177.0,182.0,867781.2291666666,956903.9166666666,956036.4583333334,1059041.6666666667
CAMPBELLTOWN,169.0,201.0,181.0,192.0,551656.25,572606.25,567500.0,559906.25
CHARLES STURT,314.0,387.0,350.0,386.0,543360.6029411765,562207.3529411765,576851.3235294118,586451.4705882353
GAWLER,91.0,93.0,111.0,114.0,322130.55555555556,320330.55555555556,331638.8888888889,338772.22222222225
HOLDFAST BAY,92.0,103.0,103.0,108.0,695864.0909090909,735141.3636363636,711931.8181818182,818522.7272727273
MARION,294.0,352.0,324.0,379.0,509994.25,475829.0576923077,524711.5384615385,511355.76923076925
MITCHAM,175.0,250.0,242.0,238.0,616537.0370370371,625601.8518518518,657183.8888888889,669822.2222222222
NORWOOD PAYNEHAM & ST PETERS,66.0,87.0,71.0,108.0,790931.25,818344.375,785781.25,828953.125
ONKAPARINGA,669.0,775.0,728.0,765.0,401520.2837837838,398647.97297297296,426025.6756756757,405877.02702702704
PLAYFORD,284.0,344.0,330.0,325.0,257887.5,263300.0,270500.0,264385.0
PORT ADELAIDE ENFIELD,454.0,564.0,454.0,548.0,452745.1219512195,466960.9146341463,473890.243902439,466122.0853658537
PROSPECT,68.0,76.0,70.0,80.0,750200.0,625000.0,651800.0,725700.0
SALISBURY,424.0,546.0,494.0,577.0,350242.04545454547,346727.2727272727,344579.54545454547,357159.0909090909
TEA TREE GULLY,435.0,474.0,407.0,497.0,403500.0,404913.04347826086,395915.2173913043,423706.52173913043
UNLEY,67.0,82.0,92.0,71.0,1053968.4615384615,1023788.4615384615,926826.9230769231,937807.6923076923
WALKERVILLE,18.0,34.0,34.0,26.0,1154375.0,1104250.0,1044125.0,1286125.0
WEST TORRENS,166.0,197.0,185.0,205.0,561081.8571428572,558051.5,575557.1428571428,612357.1428571428
